,property Name,address,city,state,zip,neighborhood,link,walk,transit,bike,sound
146,Icon Apartments,400 S Jackson St,Seattle,WA,98104,Seattle,https://www.apartments.com/icon-apartments-seattle-wa/lkb3bvd/,98,100,87,65
147,Helix Ellipse,4751 12th Ave NE,Seattle,WA,98105,University District,https://www.apartments.com/helix-ellipse-seattle-wa/p52l3rv/,98,84,65,
148,Sidney,400 Wall St,Seattle,WA,98121,Belltown,https://www.apartments.com/sidney-seattle-wa/wnwrg5l/,99,99,85,60
149,Aspira Apartments,1823 Terry Ave,Seattle,WA,98101,Denny Triangle,https://www.apartments.com/aspira-apartments-seattle-wa/f2c4n0r/,100,100,78,63
150,King Arthurs Court,12728 NE 28th Ave,Seattle,WA,98125,Lake City,https://www.apartments.com/king-arthurs-court-seattle-wa/j42xet4/,87,58,83,71
151,The Whittaker,4755 Fauntleroy Way SW,Seattle,WA,98116,Genesee,https://www.apartments.com/the-whittaker-seattle-wa/p9bpgcr/,95,52,57,68
152,AMLI Wallingford,1850 N 34th St,Seattle,WA,98103,Wallingford,https://www.apartments.com/amli-wallingford-seattle-wa/sk5j017/,71,58,89,72
153,The Heights on Capitol Hill,130 Harvard Ave E,Seattle,WA,98102,Capitol Hill,https://www.apartments.com/the-heights-on-capitol-hill-seattle-wa/xpk1vsq/,99,86,91,66
154,The Summit at Lake Union,1735 Dexter Ave N,Seattle,WA,98109,Westlake,https://www.apartments.com/the-summit-at-lake-union-seattle-wa/l70dyjd/,71,68,72,71
155,Summit At Madison Park,1819 23rd Ave,Seattle,WA,98122,Minor,https://www.apartments.com/summit-at-madison-park-seattle-wa/477y2vh/,90,65,97,70
156,Axle,3230 16th Ave W,Seattle,WA,98119,Interbay,https://www.apartments.com/axle-seattle-wa/438lw4l/,75,52,88,64
157,Seventh and James,600 7th Ave,Seattle,WA,98104,First Hill,https://www.apartments.com/seventh-and-james-seattle-wa/x8ckjym/,97,100,69,62
158,Anthem on 12th,103 12th Ave,Seattle,WA,98122,Minor,https://www.apartments.com/anthem-on-12th-seattle-wa/cm38mee/,95,96,85,66
159,Circa Green Lake Apartments,6900 E Green Lake Way N,Seattle,WA,98115,Green Lake,https://www.apartments.com/circa-green-lake-apartments-seattle-wa/bwmn6x8/,95,64,88,67
160,Neptune,912 Dexter Ave N,Seattle,WA,98109,South Lake Union,https://www.apartments.com/neptune-seattle-wa/dbk4zzk/,82,78,92,69
161,Velo and Ray,3636 Stone Way N,Seattle,WA,98103,Wallingford,https://www.apartments.com/velo-and-ray-seattle-wa/h4x54t2/,89,57,94,73
162,Stack House,1280 Harrison St,Seattle,WA,98109,South Lake Union,https://www.apartments.com/stack-house-seattle-wa/r9splt0/,96,82,81,64
163,The Eden Apartments,602-602 Galer St,Seattle,WA,98109,Queen Anne,https://www.apartments.com/the-eden-apartments-seattle-wa/0ssts93/,52,69,72,70
164,Link,4550 38th Ave SW,Seattle,WA,98126,Fairmount Park,https://www.apartments.com/link-seattle-wa/fxs5z3t/,92,52,51,67
165,Dexter Lake Union,1211-1215 Dexter Ave N,Seattle,WA,98109,Westlake,https://www.apartments.com/dexter-lake-union-seattle-wa/94bqjf6/,85,76,76,70
166,Adell Apartments,4532 SW 42nd Ave,Seattle,WA,98116,West Seattle,https://www.apartments.com/adell-apartments-seattle-wa/d14ergl/,98,52,58,70
